"","IDHH","STATEID","URBAN2011","educ_cat","income_quintile","GROUPS","CI7","CI8","WT","WTn"
"1","1917140201","(19) West Bengal 19","(1) urban 1","Higher secondary","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",5775.85751979,0.943962397585457
"2","2215040511","(22) Chhattisgarh 22","(0) rural 0","Primary","Q1 (Poorest)","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",5476.70910202,0.895071846406776
"3","0968040321","(09) Uttar Pradesh 09","(0) rural 0","College+","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",7495.55700953,1.22501705447396
"4","3214070301","(32) Kerala 32","(0) rural 0","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",4539.58671923,0.74191566340564
"5","2713020111","(27) Maharashtra 27","(0) rural 0","Secondary","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(3) Hardly any confidence at all","(1) A great deal of confidence",9466.59384348,1.54714838287493
"6","0904021811","(09) Uttar Pradesh 09","(0) rural 0","Primary","Q2","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",1068.07158565,0.174557528700904
"7","2316020311","(23) Madhya Pradesh 23","(0) rural 0","No education","Q2","(5) Adivasi 5","(1) A great deal of confidence","(2) Only some confidence",4765.81698866,0.778889024816624
"8","0617021411","(06) Haryana 06","(1) urban 1","College+","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",4407.66666667,0.72035564938565
"9","0808040111","(08) Rajasthan 08","(0) rural 0","No education","Q4","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",2320.63691958,0.379267317974234
"10","2338011201","(23) Madhya Pradesh 23","(1) urban 1","No education","Q1 (Poorest)","(5) Adivasi 5","(3) Hardly any confidence at all","(1) A great deal of confidence",5765.10772579,0.942205532689981
"11","0919031301","(09) Uttar Pradesh 09","(1) urban 1","College+","Q3","(1) Brahmin 1","(3) Hardly any confidence at all","(2) Only some confidence",6466.85824346,1.05689432113341
"12","1032130221","(10) Bihar 10","(0) rural 0","Secondary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(2) Only some confidence",27099.11785715,4.4288745311391
